Grant Name,Sponsor,Link,Open Date,Deadline,Status,Relevance,EQORE Fit,Ease of Use,Match %,Opp ID,Opportunity Number
"Homeless Veterans&rsquo; Reintegration Program (HVRP), Incarcerated Veterans&rsquo; Transition Program (IVTP), and the Homeless Women Veterans' and Homeless Veterans' with Children Reintegration Grant Program (HWVHVWC) (referred to collectively as HVRP) (FOA-VETS-26-01)",Veterans Employment and Training Service,https://www.grants.gov/search-results-detail/360161,07/28/2025,,forecasted,1.0,3.0,4.0,,360161,FOA-VETS-26-01
Veterans Legacy Grants Program (VA-NCA-VLGP-FY2026),Veterans Legacy Grants Program,https://www.grants.gov/search-results-detail/360057,07/17/2025,,forecasted,0.0,3.0,4.0,,360057,VA-NCA-VLGP-FY2026
Grants for Adaptive Sports Programs for Disabled Veterans and Disabled Members of the Armed Forces (Equine Assisted Therapy) (VA-EQUINE-25-FORECAST),National Veterans Sports Programs,https://www.grants.gov/search-results-detail/356106,08/30/2024,,forecasted,0.0,3.0,4.0,,356106,VA-EQUINE-25-FORECAST
Grants for Adaptive Sports  Programs for Disabled Veterans  and Members of the Armed  Forces program (VA-SPORTS-25-FORECAST),National Veterans Sports Programs,https://www.grants.gov/search-results-detail/356107,08/30/2024,,forecasted,0.0,3.0,4.0,,356107,VA-SPORTS-25-FORECAST
Announcement of Stand Down Grants (VPL-01-23),Veterans Employment and Training Service,https://www.grants.gov/search-results-detail/345327,01/10/2023,09/30/2025,posted,1.0,3.0,2.0,,345327,VPL-01-23
State Veterans Home Construction Grant Program (VA-GRANTS-112508-002),Construction of State Home Facilities,https://www.grants.gov/search-results-detail/58617,11/01/2010,,posted,0.0,3.0,3.0,,58617,VA-GRANTS-112508-002
"National Defense Education Program (NDEP) Science, Technology, Engineering, and Mathematics (STEM) Consortia Request for Information (RFI) for the Office of the Under Secretary of Defense (Research &amp; Engineering) (RANDENDEPSTEMFY22RFI)",Department of Defense,https://www.grants.gov/search-results-detail/334905,07/27/2021,,forecasted,0.5,4.0,4.0,0.0,334905,RANDENDEPSTEMFY22RFI
Partnership Intermediary Agreement (PIA) (FA8651-22-S0021),Munitions Directorate,https://www.grants.gov/search-results-detail/336962,12/14/2021,,forecasted,0.0,3.0,4.0,,336962,FA8651-22-S0021
"DOD Peer Reviewed Cancer, Idea Award (HT942525PRCRPIA)",Dept. of the Army -- USAMRAA,https://www.grants.gov/search-results-detail/359097,05/22/2025,09/25/2025,posted,0.0,3.0,2.0,,359097,HT942525PRCRPIA
Media Training &amp; Development (MT&amp;D)  Small Grants Program (FY-2021VE002),U.S. Mission to Venezuela,https://www.grants.gov/search-results-detail/333291,05/04/2021,,forecasted,1.0,3.0,4.0,,333291,FY-2021VE002
STARBASE Wright Patt (FOA-AFRL-PZLDA-2021-0001),Air Force -- Research Lab,https://www.grants.gov/search-results-detail/329806,11/13/2020,,forecasted,1.0,3.0,4.0,,329806,FOA-AFRL-PZLDA-2021-0001
Dialogues on the Experiences of War (20250918-AV),National Endowment for the Humanities,https://www.grants.gov/search-results-detail/356591,09/30/2024,,forecasted,0.0,3.0,4.0,,356591,20250918-AV
Identify and Evaluate Potential Risk Factors for Amyotrophic Lateral Sclerosis (ALS) (RFA-TS-26-165),Centers for Disease Control and Prevention - ERA,https://www.grants.gov/search-results-detail/360195,07/31/2025,,forecasted,0.0,3.0,4.0,,360195,RFA-TS-26-165
DoD Toxic Exposures Investigator-Initiated Research Award (HT942525TERPIIRA),Dept. of the Army -- USAMRAA,https://www.grants.gov/search-results-detail/359255,06/05/2025,10/16/2025,posted,0.5,3.0,3.0,,359255,HT942525TERPIIRA
DoD Toxic Exposures Translational Research Partnership Award (HT942525TERPTRPA),Dept. of the Army -- USAMRAA,https://www.grants.gov/search-results-detail/359254,06/05/2025,10/16/2025,posted,0.5,3.0,3.0,,359254,HT942525TERPTRPA
DoD Toxic Exposures Clinical Trial Partnership Award (HT942525TERPCTPA),Dept. of the Army -- USAMRAA,https://www.grants.gov/search-results-detail/359256,06/05/2025,10/16/2025,posted,0.0,3.0,3.0,,359256,HT942525TERPCTPA
"DoD Melanoma, Idea Award (HT942525MRPIA)",Dept. of the Army -- USAMRAA,https://www.grants.gov/search-results-detail/358951,05/14/2025,10/01/2025,posted,0.0,3.0,3.0,,358951,HT942525MRPIA
"DoD Melanoma, Melanoma Academy Scholar Award (HT942525MRPMASA)",Dept. of the Army -- USAMRAA,https://www.grants.gov/search-results-detail/358952,05/14/2025,10/01/2025,posted,0.0,3.0,3.0,,358952,HT942525MRPMASA
